Date,Crop,Price_NIS_Ton,Demand_Ton
2022-06-29,Rice,4527.04,2192
2022-07-06,Rice,4326.71,2297
2022-07-13,Rice,4296.36,2316
2022-07-20,Rice,4404.75,2177
2022-07-27,Rice,4287.4,2299
2022-08-03,Rice,4046.76,2559
2022-08-10,Rice,3885.92,2604
2022-08-17,Rice,4095.25,2447
2022-08-24,Rice,4205.08,2343
2022-08-31,Rice,3920.23,2460
2022-09-07,Rice,3956.86,2540
2022-09-14,Rice,4094.28,2353
2022-09-21,Rice,3925.29,2605
2022-09-28,Rice,3895.29,2629
2022-10-05,Rice,4014.41,2464
2022-10-12,Rice,3915.85,2515
2022-10-19,Rice,4006.51,2554
2022-10-26,Rice,4068.28,2550
2022-11-02,Rice,4139.28,2452
2022-11-09,Rice,4094.35,2448
2022-11-16,Rice,4147.7,2475
2022-11-23,Rice,4293.61,2421
2022-11-30,Rice,4223.19,2350
2022-12-07,Rice,4329.64,2393
2022-12-14,Rice,4349.27,2305
2022-12-21,Rice,4324.82,2261
2022-12-28,Rice,4443.1,2224
2023-01-04,Rice,4532.14,2128
2023-01-11,Rice,4786.22,2155
2023-01-18,Rice,4812.65,2127
2023-01-25,Rice,4718.18,2097
2023-02-01,Rice,4712.65,2118
2023-02-08,Rice,4934.96,2086
2023-02-15,Rice,5036.23,2068
2023-02-22,Rice,5051.15,1952
2023-03-01,Rice,4862.54,2111
2023-03-08,Rice,4814.79,2105
2023-03-15,Rice,5079.38,2065
2023-03-22,Rice,4919.07,2039
2023-03-29,Rice,4828.14,2122
2023-04-05,Rice,5048.52,2042
2023-04-12,Rice,5059.41,2034
2023-04-19,Rice,4746.94,2187
2023-04-26,Rice,4796.99,2153
2023-05-03,Rice,4672.52,2136
2023-05-10,Rice,4718.25,2024
2023-05-17,Rice,4633.36,2111
2023-05-24,Rice,4592.6,2228
2023-05-31,Rice,4594.14,2093
2023-06-07,Rice,4611.82,2239
2023-06-14,Rice,4499.05,2204
2023-06-21,Rice,4655.81,2087
2023-06-28,Rice,4648.59,2237
2023-07-05,Rice,4265.49,2347
2023-07-12,Rice,4271.4,2294
2023-07-19,Rice,4259.32,2346
2023-07-26,Rice,4232.25,2332
2023-08-02,Rice,3832.37,2659
2023-08-09,Rice,4088.97,2392
2023-08-16,Rice,4196.85,2386
2023-08-23,Rice,3824.51,2523
2023-08-30,Rice,4119.77,2473
2023-09-06,Rice,4087.93,2454
2023-09-13,Rice,3982.57,2600
2023-09-20,Rice,4044.89,2517
2023-09-27,Rice,3877.26,2485
2023-10-04,Rice,3993.37,2441
2023-10-11,Rice,4217.43,2285
2023-10-18,Rice,4171.45,2382
2023-10-25,Rice,3912.84,2482
2023-11-01,Rice,4295.56,2265
2023-11-08,Rice,4008.35,2467
2023-11-15,Rice,4199.2,2337
2023-11-22,Rice,4061.81,2369
2023-11-29,Rice,4311.95,2408
2023-12-06,Rice,4435.45,2225
2023-12-13,Rice,4334.24,2398
2023-12-20,Rice,4332.29,2293
2023-12-27,Rice,4410.28,2224
2024-01-03,Rice,4704.57,2193
2024-01-10,Rice,4831.88,2002
2024-01-17,Rice,4574.75,2106
2024-01-24,Rice,4806.8,2021
2024-01-31,Rice,4582.15,2087
2024-02-07,Rice,4964.47,2092
2024-02-14,Rice,4978.01,2106
2024-02-21,Rice,4775.43,2172
2024-02-28,Rice,4759.03,2085
2024-03-06,Rice,4960.45,1956
2024-03-13,Rice,5152.24,2030
2024-03-20,Rice,4831.8,2022
2024-03-27,Rice,5098.97,1943
2024-04-03,Rice,4776.01,2171
2024-04-10,Rice,4690.73,2108
2024-04-17,Rice,4826.24,2091
2024-04-24,Rice,4955.53,1972
2024-05-01,Rice,4585.75,2236
2024-05-08,Rice,4650.43,2246
2024-05-15,Rice,4730.42,2094
2024-05-22,Rice,4640.21,2061
2024-05-29,Rice,4731.26,2159
2024-06-05,Rice,4318.01,2329
2024-06-12,Rice,4449.14,2317
2024-06-19,Rice,4362.13,2334
2024-06-26,Rice,4380.45,2346
2024-07-03,Rice,4022.05,2425
2024-07-10,Rice,4282.74,2240
2024-07-17,Rice,4082.16,2473
2024-07-24,Rice,4326.84,2282
2024-07-31,Rice,4079.96,2437
2024-08-07,Rice,3886.94,2530
2024-08-14,Rice,4078.47,2365
2024-08-21,Rice,4095.76,2413
2024-08-28,Rice,4083.95,2505
2024-09-04,Rice,3824.48,2662
2024-09-11,Rice,3944.52,2453
2024-09-18,Rice,4012.49,2503
2024-09-25,Rice,3892.51,2510
2024-10-02,Rice,3892.68,2475
2024-10-09,Rice,4083.35,2472
2024-10-16,Rice,3924.61,2635
2024-10-23,Rice,3850.3,2613
2024-10-30,Rice,3856.03,2689
2024-11-06,Rice,4293.45,2261
2024-11-13,Rice,4352.63,2377
2024-11-20,Rice,4170.33,2368
2024-11-27,Rice,4244.45,2295
2024-12-04,Rice,4495.97,2154
2024-12-11,Rice,4500.48,2317
2024-12-18,Rice,4582.23,2228
2024-12-25,Rice,4516.94,2306
2020-01-01,Maize,2208.89,4607
2020-01-08,Maize,2384.92,4204
2020-01-15,Maize,2229.92,4454
2020-01-22,Maize,2191.22,4520
2020-01-29,Maize,2523.89,4039
2020-02-05,Maize,2493.93,4024
2020-02-12,Maize,2537.41,3978
2020-02-19,Maize,2502.22,3974
2020-02-26,Maize,2421.8,4221
2020-03-04,Maize,2539.95,3938
2020-03-11,Maize,2513.82,3945
2020-03-18,Maize,2599.94,3825
2020-03-25,Maize,2606.88,3829
2020-04-01,Maize,2342.25,4289
2020-04-08,Maize,2498.18,4003
2020-04-15,Maize,2532.15,3932
2020-04-22,Maize,2400.58,4119
2020-04-29,Maize,2621.91,3906
2020-05-06,Maize,2265.38,4421
2020-05-13,Maize,2310.75,4258
2020-05-20,Maize,2383.66,4101
2020-05-27,Maize,2352.6,4200
2020-06-03,Maize,1978.13,4980
2020-06-10,Maize,2001.13,4930
2020-06-17,Maize,2033.02,4830
2020-06-24,Maize,2055.83,4891
2020-07-01,Maize,1744.97,5663
2020-07-08,Maize,1916.97,5141
2020-07-15,Maize,1896.22,5296
2020-07-22,Maize,1970.15,5057
2020-07-29,Maize,1761.45,5723
2020-08-05,Maize,1802.62,5583
2020-08-12,Maize,1574.97,6367
2020-08-19,Maize,1512.63,6569
2020-08-26,Maize,1637.09,6070
2020-09-02,Maize,1610.36,6171
2020-09-09,Maize,1654.35,6119
2020-09-16,Maize,1547.85,6514
2020-09-23,Maize,1567.1,6316
2020-09-30,Maize,1550.23,6528
2020-10-07,Maize,1460.64,6814
2020-10-14,Maize,1708.43,5882
2020-10-21,Maize,1681.3,5980
2020-10-28,Maize,1598.75,6322
2020-11-04,Maize,1840.09,5361
2020-11-11,Maize,1708.65,5808
2020-11-18,Maize,1864.66,5321
2020-11-25,Maize,2029.8,4830
2020-12-02,Maize,1883.7,5317
2020-12-09,Maize,2176.88,4630
2020-12-16,Maize,1953.24,5218
2020-12-23,Maize,2256.77,4455
2020-12-30,Maize,2082.21,4881
2021-01-06,Maize,2499.84,3996
2021-01-13,Maize,2136.65,4767
2021-01-20,Maize,2243.35,4516
2021-01-27,Maize,2298.49,4260
2021-02-03,Maize,2612.33,3925
2021-02-10,Maize,2365.12,4261
2021-02-17,Maize,2526.39,4051
2021-02-24,Maize,2436.0,4015
2021-03-03,Maize,2499.03,4086
2021-03-10,Maize,2463.88,4146
2021-03-17,Maize,2478.32,3980
2021-03-24,Maize,2430.67,4177
2021-03-31,Maize,2777.33,3625
2021-04-07,Maize,2448.81,4063
2021-04-14,Maize,2650.47,3779
2021-04-21,Maize,2344.86,4303
2021-04-28,Maize,2362.3,4163
2021-05-05,Maize,2409.09,4057
2021-05-12,Maize,2355.43,4327
2021-05-19,Maize,2140.52,4693
2021-05-26,Maize,2407.83,4089
2021-06-02,Maize,2246.14,4469
2021-06-09,Maize,1951.1,5082
2021-06-16,Maize,2184.65,4482
2021-06-23,Maize,2218.27,4409
2021-06-30,Maize,2104.93,4737
2021-07-07,Maize,1953.53,5154
2021-07-14,Maize,1822.39,5465
2021-07-21,Maize,1774.49,5729
2021-07-28,Maize,2008.38,5029
2021-08-04,Maize,1491.05,6740
2021-08-11,Maize,1456.45,6812
2021-08-18,Maize,1485.59,6651
2021-08-25,Maize,1501.45,6594
2021-09-01,Maize,1566.12,6351
2021-09-08,Maize,1463.47,6897
2021-09-15,Maize,1539.63,6579
2021-09-22,Maize,1676.86,5977
2021-09-29,Maize,1696.07,5987
2021-10-06,Maize,1576.63,6436
2021-10-13,Maize,1539.51,6442
2021-10-20,Maize,1574.2,6415
2021-10-27,Maize,1635.28,6179
2021-11-03,Maize,1831.78,5552
2021-11-10,Maize,2010.11,4887
2021-11-17,Maize,1926.05,5120
2021-11-24,Maize,1777.96,5665
2021-12-01,Maize,2271.79,4430
2021-12-08,Maize,2016.23,5005
2021-12-15,Maize,2159.53,4607
2021-12-22,Maize,2211.38,4619
2021-12-29,Maize,2048.74,4891
2022-01-05,Maize,2474.94,4016
2022-01-12,Maize,2241.6,4526
2022-01-19,Maize,2199.27,4498
2022-01-26,Maize,2425.68,4058
2022-02-02,Maize,2460.28,4071
2022-02-09,Maize,2525.65,3896
2022-02-16,Maize,2634.64,3857
2022-02-23,Maize,2336.01,4368
2022-03-02,Maize,2465.79,4131
2022-03-09,Maize,2475.09,3987
2022-03-16,Maize,2590.56,3954
2022-03-23,Maize,2386.71,4258
2022-03-30,Maize,2398.83,4094
2022-04-06,Maize,2638.13,3753
2022-04-13,Maize,2467.22,4128
2022-04-20,Maize,2678.92,3767
2022-04-27,Maize,2455.23,4109
2022-05-04,Maize,2255.88,4436
2022-05-11,Maize,2239.34,4480
2022-05-18,Maize,2343.67,4171
2022-05-25,Maize,2517.66,3903
2022-06-01,Maize,2018.26,4953
2022-06-08,Maize,2064.51,4760
2022-06-15,Maize,1912.58,5298
2022-06-22,Maize,1884.85,5382
2022-06-29,Maize,2273.87,4382
2022-07-06,Maize,1901.92,5164
2022-07-13,Maize,2001.92,5052
2022-07-20,Maize,2023.97,4899
2022-07-27,Maize,1789.32,5534
2022-08-03,Maize,1634.35,6021
2022-08-10,Maize,1731.29,5727
2022-08-17,Maize,1812.82,5490
2022-08-24,Maize,1674.24,5892
2022-08-31,Maize,1833.21,5360
2022-09-07,Maize,1479.23,6790
2022-09-14,Maize,1436.48,7057
2022-09-21,Maize,1535.34,6552
2022-09-28,Maize,1627.12,6148
2022-10-05,Maize,1453.32,6867
2022-10-12,Maize,1539.64,6536
2022-10-19,Maize,1688.8,5979
2022-10-26,Maize,1675.59,6056
2022-11-02,Maize,1953.22,5205
2022-11-09,Maize,1891.78,5217
2022-11-16,Maize,1854.66,5489
2022-11-23,Maize,2008.81,4895
2022-11-30,Maize,1909.75,5244
2022-12-07,Maize,1967.6,5156
2022-12-14,Maize,2106.62,4701
2022-12-21,Maize,2009.58,5068
2022-12-28,Maize,1958.68,5155
2023-01-04,Maize,2176.21,4625
2023-01-11,Maize,2232.4,4486
2023-01-18,Maize,2192.94,4528
2023-01-25,Maize,2311.54,4387
2023-02-01,Maize,2588.19,3774
2023-02-08,Maize,2689.06,3637
2023-02-15,Maize,2327.07,4366
2023-02-22,Maize,2588.45,3811
2023-03-01,Maize,2538.38,3932
2023-03-08,Maize,2695.35,3630
2023-03-15,Maize,2691.32,3793
2023-03-22,Maize,2382.54,4122
2023-03-29,Maize,2721.01,3632
2023-04-05,Maize,2407.27,4082
2023-04-12,Maize,2569.04,3867
2023-04-19,Maize,2555.32,3961
2023-04-26,Maize,2533.94,3982
2023-05-03,Maize,2131.38,4668
2023-05-10,Maize,2200.43,4509
2023-05-17,Maize,2338.93,4181
2023-05-24,Maize,2154.71,4592
2023-05-31,Maize,2450.11,4067
2023-06-07,Maize,2243.05,4377
2023-06-14,Maize,1967.04,5013
2023-06-21,Maize,1951.94,5116
2023-06-28,Maize,2099.23,4700
2023-07-05,Maize,1780.86,5632
2023-07-12,Maize,1943.79,5227
2023-07-19,Maize,1631.0,6122
2023-07-26,Maize,1729.9,5683
2023-08-02,Maize,1499.31,6671
2023-08-09,Maize,1797.97,5638
2023-08-16,Maize,1841.89,5377
2023-08-23,Maize,1683.82,6027
2023-08-30,Maize,1776.0,5643
2023-09-06,Maize,1453.73,6842
2023-09-13,Maize,1406.2,7112
2023-09-20,Maize,1761.04,5637
2023-09-27,Maize,1611.78,6233
2023-10-04,Maize,1465.45,6763
2023-10-11,Maize,1477.34,6866
2023-10-18,Maize,1526.18,6520
2023-10-25,Maize,1689.98,5924
2023-11-01,Maize,1843.85,5464
2023-11-08,Maize,2002.29,5083
2023-11-15,Maize,1633.66,6129
2023-11-22,Maize,1913.91,5315
2023-11-29,Maize,1877.53,5226
2023-12-06,Maize,2084.62,4723
2023-12-13,Maize,2034.12,4929
2023-12-20,Maize,2182.37,4549
2023-12-27,Maize,2015.74,4903
2024-01-03,Maize,2134.31,4730
2024-01-10,Maize,2408.74,4190
2024-01-17,Maize,2409.37,4087
2024-01-24,Maize,2169.94,4646
2024-01-31,Maize,2299.2,4336
2024-02-07,Maize,2679.49,3668
2024-02-14,Maize,2418.36,4212
2024-02-21,Maize,2375.81,4288
2024-02-28,Maize,2613.23,3890
2024-03-06,Maize,2465.71,4090
2024-03-13,Maize,2708.45,3733
2024-03-20,Maize,2646.56,3862
2024-03-27,Maize,2610.87,3853
2024-04-03,Maize,2487.95,4028
2024-04-10,Maize,2500.47,3908
2024-04-17,Maize,2402.43,4090
2024-04-24,Maize,2646.24,3873
2024-05-01,Maize,2217.89,4444
2024-05-08,Maize,2433.17,4155
2024-05-15,Maize,2527.55,3954
2024-05-22,Maize,2446.23,4149
2024-05-29,Maize,2444.23,4183
2024-06-05,Maize,2249.13,4394
2024-06-12,Maize,2096.73,4792
2024-06-19,Maize,2188.41,4557
2024-06-26,Maize,1895.71,5298
2024-07-03,Maize,1859.99,5368
2024-07-10,Maize,2013.56,4902
2024-07-17,Maize,1712.0,5813
2024-07-24,Maize,1686.86,5865
2024-07-31,Maize,1906.71,5278
2024-08-07,Maize,1665.93,5925
2024-08-14,Maize,1615.29,6281
2024-08-21,Maize,1784.02,5618
2024-08-28,Maize,1608.3,6235
2024-09-04,Maize,1723.53,5889
2024-09-11,Maize,1430.69,7043
2024-09-18,Maize,1448.79,6980
2024-09-25,Maize,1665.64,6086
2024-10-02,Maize,1816.57,5515
2024-10-09,Maize,1680.9,6012
2024-10-16,Maize,1520.24,6597
2024-10-23,Maize,1529.01,6500
2024-10-30,Maize,1759.74,5661
2024-11-06,Maize,1676.8,5914
2024-11-13,Maize,1922.73,5158
2024-11-20,Maize,1752.76,5688
2024-11-27,Maize,1951.19,5084
2024-12-04,Maize,2093.95,4761
2024-12-11,Maize,2186.07,4601
2024-12-18,Maize,2173.44,4692
2024-12-25,Maize,2224.58,4472
2020-01-01,Chickpea,5264.69,1981
2020-01-08,Chickpea,5309.01,1933
2020-01-15,Chickpea,5297.78,1793
2020-01-22,Chickpea,5084.23,1958
2020-01-29,Chickpea,5082.8,1928
2020-02-05,Chickpea,5466.48,1894
2020-02-12,Chickpea,5395.55,1857
2020-02-19,Chickpea,5211.76,1832
2020-02-26,Chickpea,5261.11,1953
2020-03-04,Chickpea,5494.89,1874
2020-03-11,Chickpea,5203.48,2019
2020-03-18,Chickpea,5247.36,1946
2020-03-25,Chickpea,5308.27,1937
2020-04-01,Chickpea,5205.21,1921
2020-04-08,Chickpea,5217.02,1997
2020-04-15,Chickpea,5443.32,1836
2020-04-22,Chickpea,5211.61,1944
2020-04-29,Chickpea,5494.66,1729
2020-05-06,Chickpea,4943.69,2041
2020-05-13,Chickpea,5260.87,1950
2020-05-20,Chickpea,5232.16,1837
2020-05-27,Chickpea,5297.11,1899
2020-06-03,Chickpea,4917.28,2024
2020-06-10,Chickpea,4752.37,2175
2020-06-17,Chickpea,4939.92,2098
2020-06-24,Chickpea,4991.71,2085
2020-07-01,Chickpea,4639.44,2095
2020-07-08,Chickpea,4491.8,2286
2020-07-15,Chickpea,4452.24,2242
2020-07-22,Chickpea,4448.33,2278
2020-07-29,Chickpea,4776.17,2040
2020-08-05,Chickpea,4476.17,2204
2020-08-12,Chickpea,4514.56,2141
2020-08-19,Chickpea,4376.83,2371
2020-08-26,Chickpea,4424.3,2201
2020-09-02,Chickpea,4402.88,2175
2020-09-09,Chickpea,4287.8,2410
2020-09-16,Chickpea,4230.77,2435
2020-09-23,Chickpea,4541.94,2202
2020-09-30,Chickpea,4363.14,2296
2020-10-07,Chickpea,4320.01,2397
2020-10-14,Chickpea,4522.71,2219
2020-10-21,Chickpea,4374.92,2218
2020-10-28,Chickpea,4305.27,2332
2020-11-04,Chickpea,4536.9,2278
2020-11-11,Chickpea,4688.32,2185
2020-11-18,Chickpea,4527.3,2134
2020-11-25,Chickpea,4829.97,2075
2020-12-02,Chickpea,4687.75,2150
2020-12-09,Chickpea,5033.26,2059
2020-12-16,Chickpea,5020.14,2025
2020-12-23,Chickpea,4850.9,2106
2020-12-30,Chickpea,4750.45,2098
2021-01-06,Chickpea,5057.3,2060
2021-01-13,Chickpea,5328.21,1902
2021-01-20,Chickpea,5246.05,1926
2021-01-27,Chickpea,5096.73,1993
2021-02-03,Chickpea,5443.4,1911
2021-02-10,Chickpea,5425.77,1779
2021-02-17,Chickpea,5361.73,1856
2021-02-24,Chickpea,5402.56,1871
2021-03-03,Chickpea,5360.95,1936
2021-03-10,Chickpea,5280.73,1800
2021-03-17,Chickpea,5504.04,1732
2021-03-24,Chickpea,5362.38,1831
2021-03-31,Chickpea,5562.82,1894
2021-04-07,Chickpea,5448.8,1921
2021-04-14,Chickpea,5354.57,1960
2021-04-21,Chickpea,5159.94,1989
2021-04-28,Chickpea,5377.09,1852
2021-05-05,Chickpea,5041.19,2024
2021-05-12,Chickpea,5247.9,1966
2021-05-19,Chickpea,5228.32,1913
2021-05-26,Chickpea,4960.66,2059
2021-06-02,Chickpea,4880.11,1957
2021-06-09,Chickpea,4860.03,1997
2021-06-16,Chickpea,4905.75,2042
2021-06-23,Chickpea,4704.45,2126
2021-06-30,Chickpea,5072.12,1962
2021-07-07,Chickpea,4587.44,2267
2021-07-14,Chickpea,4590.21,2157
2021-07-21,Chickpea,4453.78,2200
2021-07-28,Chickpea,4557.01,2192
2021-08-04,Chickpea,4430.62,2305
2021-08-11,Chickpea,4458.45,2170
2021-08-18,Chickpea,4431.38,2296
2021-08-25,Chickpea,4368.5,2349
2021-09-01,Chickpea,4256.17,2424
2021-09-08,Chickpea,4582.68,2219
2021-09-15,Chickpea,4232.14,2385
2021-09-22,Chickpea,4541.96,2286
2021-09-29,Chickpea,4563.68,2101
2021-10-06,Chickpea,4422.48,2302
2021-10-13,Chickpea,4492.72,2249
2021-10-20,Chickpea,4578.02,2137
2021-10-27,Chickpea,4537.4,2113
2021-11-03,Chickpea,4481.81,2255
2021-11-10,Chickpea,4692.74,2194
2021-11-17,Chickpea,4535.85,2301
2021-11-24,Chickpea,4465.81,2336
2021-12-01,Chickpea,4913.83,1950
2021-12-08,Chickpea,4852.22,2097
2021-12-15,Chickpea,4988.71,2020
2021-12-22,Chickpea,5042.66,1975
2021-12-29,Chickpea,4738.5,2159
2022-01-05,Chickpea,4969.14,2079
2022-01-12,Chickpea,5020.61,2001
2022-01-19,Chickpea,5246.4,1864
2022-01-26,Chickpea,4958.81,2098
2022-02-02,Chickpea,5183.26,2024
2022-02-09,Chickpea,5144.51,2009
2022-02-16,Chickpea,5138.13,1982
2022-02-23,Chickpea,5276.01,1909
2022-03-02,Chickpea,5356.54,1828
2022-03-09,Chickpea,5314.87,1800
2022-03-16,Chickpea,5498.42,1836
2022-03-23,Chickpea,5316.17,1975
2022-03-30,Chickpea,5377.41,1810
2022-04-06,Chickpea,5409.37,1927
2022-04-13,Chickpea,5252.5,1973
2022-04-20,Chickpea,5218.65,2014
2022-04-27,Chickpea,5355.13,1818
2022-05-04,Chickpea,5087.07,1867
2022-05-11,Chickpea,5313.5,1936
2022-05-18,Chickpea,5288.95,1883
2022-05-25,Chickpea,4939.82,2058
2022-06-01,Chickpea,4921.7,2081
2022-06-08,Chickpea,5018.62,2079
2022-06-15,Chickpea,4730.1,2095
2022-06-22,Chickpea,4726.08,2087
2022-06-29,Chickpea,4995.72,1987
2022-07-06,Chickpea,4828.0,2062
2022-07-13,Chickpea,4600.49,2175
2022-07-20,Chickpea,4830.27,2080
2022-07-27,Chickpea,4439.84,2182
2022-08-03,Chickpea,4644.32,2216
2022-08-10,Chickpea,4578.91,2266
2022-08-17,Chickpea,4457.73,2268
2022-08-24,Chickpea,4481.02,2249
2022-08-31,Chickpea,4491.82,2210
2022-09-07,Chickpea,4240.05,2359
2022-09-14,Chickpea,4445.9,2195
2022-09-21,Chickpea,4263.43,2435
2022-09-28,Chickpea,4504.15,2193
2022-10-05,Chickpea,4431.2,2355
2022-10-12,Chickpea,4381.98,2275
2022-10-19,Chickpea,4415.8,2257
2022-10-26,Chickpea,4337.35,2318
2022-11-02,Chickpea,4607.24,2091
2022-11-09,Chickpea,4771.05,1996
2022-11-16,Chickpea,4742.66,2087
2022-11-23,Chickpea,4739.38,2163
2022-11-30,Chickpea,4726.78,2196
2022-12-07,Chickpea,4901.45,1953
2022-12-14,Chickpea,4838.62,2116
2022-12-21,Chickpea,4931.57,2120
2022-12-28,Chickpea,4867.7,2024
2023-01-04,Chickpea,5019.37,2078
2023-01-11,Chickpea,5013.92,1901
2023-01-18,Chickpea,5122.14,1996
2023-01-25,Chickpea,5090.42,2049
2023-02-01,Chickpea,5327.51,1860
2023-02-08,Chickpea,5269.57,1882
2023-02-15,Chickpea,5199.48,1904
2023-02-22,Chickpea,5286.9,1954
2023-03-01,Chickpea,5405.22,1855
2023-03-08,Chickpea,5279.78,1802
2023-03-15,Chickpea,5575.91,1877
2023-03-22,Chickpea,5475.83,1765
2023-03-29,Chickpea,5440.28,1836
2023-04-05,Chickpea,5288.27,1932
2023-04-12,Chickpea,5221.73,1926
2023-04-19,Chickpea,5172.91,2013
2023-04-26,Chickpea,5169.48,1984
2023-05-03,Chickpea,5286.56,1937
2023-05-10,Chickpea,5035.58,1975
2023-05-17,Chickpea,4979.4,1988
2023-05-24,Chickpea,5325.86,1955
2023-05-31,Chickpea,5273.91,1887
2023-06-07,Chickpea,4841.53,1988
2023-06-14,Chickpea,4693.51,2165
2023-06-21,Chickpea,4907.66,2080
2023-06-28,Chickpea,4961.22,1961
2023-07-05,Chickpea,4827.81,2043
2023-07-12,Chickpea,4783.64,2178
2023-07-19,Chickpea,4593.63,2226
2023-07-26,Chickpea,4545.62,2171
2023-08-02,Chickpea,4373.83,2278
2023-08-09,Chickpea,4300.49,2353
2023-08-16,Chickpea,4476.32,2193
2023-08-23,Chickpea,4538.56,2298
